id,name,symbol,price,market_cap,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank
1,Bitcoin,BTC,44932.6430287045,840766945347.7845,bitcoin,9544,2013-04-28T00:00:00.000Z,21000000.0,18711718.0,18711718.0,18711718.0,18711718.0
1027,Ethereum,ETH,3386.444266993601,392490354755.01184,ethereum,5547,2015-08-07T00:00:00.000Z,,115900432.374,115900432.374,115900432.374,115900432.374
1839,Binance Coin,BNB,545.1925344108447,83650469977.42809,binance-coin,595,2017-07-25T00:00:00.000Z,170532785.0,153432897.0,169432897.0,153432897.0,169432897.0
74,Dogecoin,DOGE,0.50391471886962,65319487578.836685,dogecoin,360,2013-12-15T00:00:00.000Z,,129624091404.51614,129624091404.51614,129624091404.51614,129624091404.51614
2010,Cardano,ADA,2.03056668294626,64873172726.839935,cardano,261,2017-10-01T00:00:00.000Z,45000000000.0,31948309440.7478,45000000000.0,31948309440.7478,45000000000.0
825,Tether,USDT,0.99998989448588,58309208948.702644,tether,12831,2015-02-25T00:00:00.000Z,,58309798199.19168,59476291004.32977,58309798199.19168,59476291004.32977
52,XRP,XRP,1.35798661801563,47676638210.25119,xrp,672,2013-08-04T00:00:00.000Z,100000000000.0,35108326973.0,99997364318.0,35108326973.0,99997364318.0
6636,Polkadot,DOT,39.96299035064429,37503704411.21405,polkadot-new,195,2020-08-19T00:00:00.000Z,,938460913.0134679,1073985027.8676558,938460913.0134679,1073985027.8676558
8916,Internet Computer,ICP,212.71509976758296,26365968079.38676,internet-computer,28,2021-03-23T00:00:00.000Z,,123949677.8,469213678.2958,123949677.8,469213678.2958
1831,Bitcoin Cash,BCH,1108.5438394975295,20773217788.713108,bitcoin-cash,589,2017-07-23T00:00:00.000Z,21000000.0,18739193.75,18739193.75,18739193.75,18739193.75
7083,Uniswap,UNI,34.89658931640236,19528061087.90119,uniswap,250,2020-09-17T00:00:00.000Z,1000000000.0,559597985.6610934,1000000000.0,559597985.6610934,1000000000.0
2,Litecoin,LTC,285.19713138846004,19037597133.04191,litecoin,742,2013-04-28T00:00:00.000Z,84000000.0,66752414.51538747,66752414.51538747,66752414.51538747,66752414.51538747
1975,Chainlink,LINK,38.3246056095672,16345810442.599234,chainlink,508,2017-09-20T00:00:00.000Z,1000000000.0,426509553.9174637,1000000000.0,426509553.9174637,1000000000.0
512,Stellar,XLM,0.67237441090427,15548897721.094982,stellar,341,2014-08-05T00:00:00.000Z,50001806812.0,23125356154.14545,50001803200.54775,23125356154.14545,50001803200.54775
3408,USD Coin,USDC,1.00011780445015,14381851890.64303,usd-coin,996,2018-10-08T00:00:00.000Z,,14380157844.055141,14380157844.055141,14380157844.055141,14380157844.055141
5426,Solana,SOL,42.23913172166767,11515968215.69242,solana,46,2020-04-10T00:00:00.000Z,,272637427.57725775,494519161.74206734,272637427.57725775,494519161.74206734
3077,VeChain,VET,0.1674451336237,10769330383.00847,vechain,126,2017-08-22T00:00:00.000Z,86712634466.0,64315576989.0,86712634466.0,64315576989.0,86712634466.0
1321,Ethereum Classic,ETC,89.50114073104815,10410172942.691483,ethereum-classic,278,2016-07-24T00:00:00.000Z,210700000.0,116313299.0,116313299.0,116313299.0,116313299.0
1765,EOS,EOS,9.70005687694376,9248360101.34494,eos,475,2017-07-01T00:00:00.000Z,,953433595.1501,1029600673.4233,953433595.1501,1029600673.4233
3890,Polygon,MATIC,1.4687644723307,9002925398.185846,polygon,120,2019-04-28T00:00:00.000Z,10000000000.0,6129590937.0,10000000000.0,6129590937.0,10000000000.0
2416,THETA,THETA,9.0443742670064,9044374267.006401,theta,52,2018-01-17T00:00:00.000Z,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
