name,symbol,market_cap
Bitcoin,BTC,804976163007.7203
Ethereum,ETH,378578672592.61597
Binance Coin,BNB,77038431877.87074
Cardano,ADA,65046699430.30642
Dogecoin,DOGE,62297587733.09135
Tether,USDT,58165179179.24999
XRP,XRP,52727552807.29569
Polkadot,DOT,35433736854.5024
Internet Computer,ICP,24308362180.317947
Bitcoin Cash,BCH,19478683016.36279
Uniswap,UNI,18552366806.957855
Litecoin,LTC,18165915518.462784
Chainlink,LINK,15578718206.371248
Stellar,XLM,15171887850.762396
USD Coin,USDC,14382390489.012495
Solana,SOL,13428530287.532478
Ethereum Classic,ETC,10060515737.619514
Polygon,MATIC,10018174502.757217
VeChain,VET,9972492465.008837
THETA,THETA,9877409375.073431
HEX,HEX,8555270322.772403
EOS,EOS,8490529631.6421795
TRON,TRX,8100825930.736487
Binance USD,BUSD,7799865569.281312
Wrapped Bitcoin,WBTC,7717552019.015052
Filecoin,FIL,7141390853.938355
Aave,AAVE,6830303194.27824
SHIBA INU,SHIB,6139374777.395081
Monero,XMR,6137965755.477641
Neo,NEO,5851021825.973596
Terra,LUNA,5682275617.37221
Klaytn,KLAY,5344206805.895191
Bitcoin SV,BSV,5085476616.907894
IOTA,MIOTA,5028239920.211795
Dai,DAI,4875205907.119309
Kusama,KSM,4801691525.362885
Huobi Token,HT,4669749508.642666
FTX Token,FTT,4661431443.529818
Cosmos,ATOM,4629117382.801086
Tezos,XTZ,4474396535.383696
Avalanche,AVAX,4399969489.76963
THORChain,RUNE,4368680802.848525
Maker,MKR,4287740308.059762
PancakeSwap,CAKE,4270126678.295363
SafeMoon,SAFEMOON,4238195272.501764
Algorand,ALGO,3931940599.0782123
Wrapped BNB,WBNB,3848500778.851683
Crypto.com Coin,CRO,3591372170.525822
BitTorrent,BTT,3491277429.189179
Compound,COMP,3384158769.3084664
UNUS SED LEO,LEO,3257386032.9123373
Dash,DASH,2934285611.278277
Creditcoin,CTC,2885189848.11555
Waves,WAVES,2827060840.8677073
Zcash,ZEC,2719032186.253361
Elrond,EGLD,2428590389.096505
NEM,XEM,2425987467.298706
Revain,REV,2399372031.362148
Hedera Hashgraph,HBAR,2383753903.443823
Bitcoin BEP2,BTCB,2350959287.9001784
yearn.finance,YFI,2289110025.9449844
Chiliz,CHZ,2243445487.2583976
Symbol,XYM,2146583675.8047507
Decred,DCR,2110963108.2072954
SushiSwap,SUSHI,2099205655.163904
TerraUSD,UST,2096624560.0301585
NEAR Protocol,NEAR,2043962631.7609248
Synthetix,SNX,1993192082.4910426
Telcoin,TEL,1950323741.913098
Fei Protocol,FEI,1943175860.5970283
Zilliqa,ZIL,1907551999.7334356
Holo,HOT,1885854111.4835346
Counos X,CCXX,1825142259.9411018
Theta Fuel,TFUEL,1752388210.685502
Nexo,NEXO,1730617043.5319586
Qtum,QTUM,1660713120.4016886
Decentraland,MANA,1660597607.6043139
OKB,OKB,1639913782.8487973
Basic Attention Token,BAT,1573910808.551009
Celsius,CEL,1573122390.5390913
The Graph,GRT,1519913788.7657847
The Transfer Token,TTT,1511591368.352106
Stacks,STX,1510470779.991539
Enjin Coin,ENJ,1488808348.6122172
DeFiChain,DFI,1484814569.965808
Bitcoin Gold,BTG,1481415337.1729112
Fantom,FTM,1473642172.0641508
Ontology,ONT,1465539098.256228
Liquity USD,LUSD,1461759857.26947
DigiByte,DGB,1436707695.3217156
Celo,CELO,1406913939.3599021
Huobi BTC,HBTC,1381799244.5260856
Nano,NANO,1325051547.0739577
UMA,UMA,1306081947.9705539
Harmony,ONE,1304167873.1420908
Horizen,ZEN,1250879356.9864914
0x,ZRX,1228077628.4012873
Bancor,BNT,1221232439.266921
Siacoin,SC,1221111223.6378267
Paxos Standard,PAX,1218121398.6028037
BakeryToken,BAKE,1215971969.023445
Pirate Chain,ARRR,1198025936.963017
OMG Network,OMG,1162630700.6273074
Helium,HNT,1151131217.6755488
ICON,ICX,1138170557.6377294
stETH (Lido),STETH,1127667474.890054
TrueUSD,TUSD,1125446207.6869907
Ravencoin,RVN,1079685821.36259
Curve DAO Token,CRV,1078327584.7963386
SwissBorg,CHSB,1042865434.73682
Orbit Chain,ORC,1015073238.302728
WhiteCoin,XWC,940306787.8497236
Ankr,ANKR,914775012.0801957
XinFin Network,XDC,869859101.3434602
Venus BNB,vBNB,858341961.671359
HUSD,HUSD,851975921.490419
Reserve Rights,RSR,846953370.1649258
Venus,XVS,836301463.4248366
KuCoin Token,KCS,826427733.6640651
NXM,NXM,802292586.1025482
1inch,1INCH,789236770.1954238
Arweave,AR,768652033.1431122
IOST,IOST,743853715.2988515
Ren,REN,724359924.2974701
ThoreCoin,THR,723013788.7577871
Bitcoin Diamond,BCD,718646028.6994787
Verge,XVG,716611144.8288628
Flow,FLOW,711834729.5507385
INO COIN,INO,711684098.7810459
Voyager Token,VGX,707922231.2618332
Lisk,LSK,707430001.6837536
Rapids,RPD,704148613.280901
Bitpanda Ecosystem Token,BEST,699268161.3928707
Loopring,LRC,624016948.1683636
Dent,DENT,615266594.6223856
iExec RLC,RLC,599870224.1213987
Livepeer,LPT,596722616.971782
HedgeTrade,HEDG,593355383.0778432
Bitcoin Standard Hashrate Token,BTCST,583497501.5128595
ECOMI,OMI,581453079.2474015
Quant,QNT,581422486.1772674
WazirX,WRX,574155147.4203726
Amp,AMP,566445225.8940682
GateToken,GT,561430565.6014534
Bitcoin Cash ABC,BCHA,557087598.0347179
Pundi X[new],PUNDIX,543252074.700043
Nervos Network,CKB,540391074.9745762
Status,SNT,534608197.6117582
Kyber Network Crystal Legacy,KNC,513224870.99553376
Alpha Finance Lab,ALPHA,504152618.1845246
renBTC,RENBTC,503968430.93670833
Conflux Network,CFX,500751715.42697006
Mirror Protocol,MIR,497109195.7734317
BTMX,BTMX,483930140.2866316
Mdex,MDX,469091087.5349275
SKALE Network,SKL,467270316.5489899
Serum,SRM,463388921.8491375
Raydium,RAY,461037070.1659687
Ocean Protocol,OCEAN,456753592.72474146
Reef,REEF,454425965.0950815
Neutrino USD,USDN,440890831.49208766
VeThor Token,VTHO,423611654.2965146
Storj,STORJ,421055315.41792846
botXcoin,BOTX,415745420.15265
Cartesi,CTSI,390748550.03996336
Energy Web Token,EWT,387880858.1939436
Zelwin,ZLW,385863597.42874587
Venus XVS,vXVS,377442297.6318089
Axie Infinity,AXS,370386720.575122
Mixin,XIN,366370737.4391908
Tribe,TRIBE,365508822.76661295
Ergo,ERG,359208691.88021344
Wootrade,WOO,358263703.78103507
Golem,GLM,355326632.90049
Prometeus,PROM,347585469.85493463
Injective Protocol,INJ,342179246.475287
Balancer,BAL,341075034.8898914
Origin Protocol,OGN,340492214.1000135
Stratis,STRAX,339548923.32083476
Augur,REP,330424500.53943396
Swipe,SXP,328484587.28431547
Gnosis,GNO,325068280.0724407
