date,BTC,ETH,BNB,ADA,DOGE,XRP,DOT,BCH,UNI,LTC,LINK,XLM,SOL,ETC,MATIC,VET,BUSD,FIL,AAVE,XMR,WAVES,ZEC,EGLD,XEM,ENJ,BTG,ONT
2018-08-22,6360.89,270.8,9.5888,0.08955,,0.3185,,,,55.14,,0.20752,,12.1713,,0.01376,,,,,,,,,,,2.08
2018-08-23,6525.01,275.99,9.7587,0.09232,,0.3263,,,,57.29,,0.21694,,12.4789,,0.01472,,,,,,,,,,,2.181
2018-08-24,6681.64,281.19,10.2038,0.09381,,0.32646,,,,57.82,,0.21903,,12.5709,,0.01453,,,,,,,,,,,2.165
2018-08-25,6733.64,277.55,10.1058,0.09413,,0.32702,,,,57.89,,0.21787,,12.505,,0.0154,,,,,,,,,,,2.346
2018-08-26,6700.0,274.29,10.2158,0.09306,,0.32276,,,,56.99,,0.213,,12.4457,,0.0153,,,,,,,,,,,2.385
2018-08-27,6908.64,287.71,11.1888,0.10051,,0.33901,,,,60.61,,0.22728,,12.7227,,0.018,,,,,,,,,,,2.684
2018-08-28,7076.11,295.44,11.5188,0.10555,,0.35128,,,,63.13,,0.23528,,13.1837,,0.01794,,,,,,,,,,,2.803
2018-08-29,7031.22,288.4,11.1888,0.10535,,0.34494,,,,61.41,,0.2262,,12.996,,0.0169,,,,,,,,,,,2.546
2018-08-30,6984.84,283.89,10.7899,0.10066,,0.33518,,,,60.23,,0.22185,,12.848,,0.01731,,,,,,,,,,,2.505
2018-08-31,7011.21,281.41,10.9899,0.1017,,0.3353,,,,62.04,,0.22282,,12.7411,,0.01704,,,,,,,,,,,2.455
2018-09-01,7200.01,295.71,11.48,0.10699,,0.34699,,,,66.49,,0.22991,,13.1736,,0.0182,,,,,,,,,,,2.62
2018-09-02,7302.01,295.41,11.3684,0.10499,,0.34253,,,,66.21,,0.226,,13.4031,,0.01786,,,,,,,,,,,2.505
2018-09-03,7263.02,289.09,11.3294,0.10352,,0.33493,,,,65.44,,0.22061,,14.0611,,0.01879,,,,,,,,,,,2.417
2018-09-04,7359.06,285.3,11.4217,0.10521,,0.33116,,,,67.6,,0.23206,,13.9819,,0.01945,,,,,,,,,,,2.417
2018-09-05,6700.0,228.53,9.9664,0.08637,,0.27889,,,,57.82,,0.20335,,11.7599,,0.01609,,,,,,,,,,,1.834
2018-09-06,6516.01,229.7,10.2888,0.0884,,0.30179,,,,57.61,,0.208,,11.9851,,0.01615,,,,,,,,,,,2.096
2018-09-07,6395.54,215.22,9.9401,0.08287,,0.2869,,,,55.66,,0.20593,,11.5867,,0.0155,,,,,,,,,,,1.97
2018-09-08,6185.05,196.71,9.5224,0.07749,,0.27679,,,,53.07,,0.19328,,10.9721,,0.01454,,,,,,,,,,,1.883
2018-09-09,6250.81,195.81,9.5399,0.07601,,0.2766,,,,54.74,,0.19024,,11.21,,0.01443,,,,,,,,,,,1.843
2018-09-10,6312.0,197.15,9.508,0.07343,,0.27,,,,54.34,,0.19011,,11.3064,,0.01415,,,,,,,,,,,1.85
2018-09-11,6294.91,185.18,9.3688,0.0701,,0.26314,,,,52.04,,0.20071,,11.2605,,0.01312,,,,,,,,,,,1.751
2018-09-12,6338.62,183.12,9.2081,0.06627,,0.2699,,,,51.69,,0.19672,,10.7222,,0.0138,,,,,,,,,,,1.738
2018-09-13,6487.38,210.68,9.5911,0.06951,,0.27933,,,,54.44,,0.2058,,11.1085,,0.01403,,,,,,,,,,,1.89
2018-09-14,6476.63,208.82,9.9268,0.06749,,0.27571,,,,56.24,,0.20012,,10.9416,,0.0139,,,,,,,,,,,1.812
